location,loctype,counts,lon,lat,comments,attitudes,reposts,price,introduction,开放时间,关闭时间,动物,赏花,文化典故,美食,带娃
苏州乐园,公园游乐园,5021,120.762428,31.2351,10323,597,1074,180,"苏州乐园原址位于苏州高新区狮山板块，现已搬迁至“城市绿肺”大阳山国家森林公园东南侧，是由苏州高新股份公司斥资打造的全新一代森林主题休闲娱乐目的地。搬迁升级后的苏州乐园深耕森系旅游板块，旗下涵盖森林世界、森林水世界、四季恒温水乐园、苏州乐园植物园四大主题景区及度假酒店、精品民宿、特色餐饮、主题演艺等多元综合业态，正致力于打造森林主题休闲娱乐目的地――苏州乐园森林度假区。
2022年12月30日，苏州乐园森林世界景区获国家4A级旅游景区称号。",9:00,17:00,,,,,1
太湖湿地公园,公园游乐园,3440,120.663986,31.321781,6223,360,838,0,"江苏苏州太湖国家湿地公园位于江苏省苏州市高新区西部，西枕太湖，东接东渚，南连光福，毗邻镇湖，规划总面积4.6平方公里，一期对外开放2.3平方公里，其中水域面积占71%。
江苏苏州太湖国家湿地公园是一个自然与文化相融的个性独具的原始时尚休闲景区，汇集了湿地渔业体验区、湿地展示区、湿地生态栖息地、湿地生态培育区、水乡游赏休闲区、湿地生态科教基地、原生湿地保护区等七大功能区。景区内有桃源人家、桑梓人家、七桅古船、渔矶台、槿篱茅舍、半岛茗茶、青云画舫、烟波致爽等景点。公园主要为鸟类和鱼类提供栖息地。
江苏苏州太湖国家湿地公园于2010年2月正式对外开园，2011年9月通过原国家林业局试点国家湿地公园验收，正式成为国家湿地公园；2012年被评定为国家AAAA级旅游景区。",8:00,17:00,1,,,,1
桃花坞,公园游乐园,2137,120.615692,31.3175797,4584,291,413,0,桃花坞，即今苏州市桃花坞大街及其周边地区。唐诗人杜荀鹤曾作《桃花河》诗，宋范成大《阊门泛槎》诗有“桃坞论今昔”句。可见桃花坞名称由来以久。宋末元初曾居住过桃花坞庆里的徐大焯在《烬余录》中详细描述了桃花坞的范围：“入阊门河而东，循能仁寺、章家河而北，过石塘桥出齐门，古皆称桃花河。河西北，皆桃坞地，广袤所至，赅大云乡全境。”,8:00,17:00,,1,1,,
桐泾公园,公园游乐园,647,120.60231,31.279821,1495,59,126,0,桐泾公园位于桐泾路与解放路交界处东北角，占地约20万平方米，是苏州市中心城区最大的市级公园。该公园围绕“生态、人文、科技”三大规划理念，运用简洁的设计和造园手法，充分体现现代都市中人们对生态自然的追求和高新技术的探求欲望。,8:00,17:00,,1,,,
网师园,公园游乐园,1160,120.635117,31.297597,3259,220,6903,40,"网师园（Master-of-Nets Garden），位于江苏省苏州市城区东南部带城桥路阔家头巷11号，距离上海虹桥机场约120公里。是苏州园林中型古典山水宅园代表作品。网师园始建于南宋时期（公元1127～1279年），旧为宋代藏书家、官至侍郎的扬州文人史正志的“万卷堂”故址，花园名为“渔隐”，后废。至清乾隆年间（约公元1770年），退休的光禄寺少卿宋宗元购之并重建，定园名为“网师园”。
网师园几易其主，园主多为文人雅士，各有诗文碑刻遗于园内，历经修葺整理。网师园占地约半公顷，是苏州园林中较小的一座。园内主要建筑有丛桂轩、濯缨水阁、看松读画轩、殿春m等。网师园的亭台楼榭无不临水，全园处处有水可依，各种建筑配合得当，布局紧凑，以精巧见长。
网师园是典型的宅园合一的私家园林。住宅部分共四进，自轿厅、大客厅、撷秀楼、五峰书屋，沿中轴线依次展开，主厅“万卷堂”屋宇高敞，装饰雅致。
网师园是全国重点文物保护单位、世界文化遗产。",8:00,17:00,,,1,,
古樟植物园,公园游乐园,20,120.30654,31.12319,14,1,7,0,山古樟植物园，位于苏州市吴县西山景区，因园区有千年香樟树而得名。是由中国科学院中山植物研究所、苏州城建环保学院设计建设，它充分利用西山丰富的植物资源。引进大量名贵花草树木，既有园林之美，又不失自然野趣，与古老的苏州园林遥相呼应，珠联璧合。植物园拥有五个景区：一、古樟树景观区；二、经济植物及珍稀果木示范区；三、展览温室；四、简易花卉生产温室；五、水生植物区。西山古樟植物园以古樟园为基础，将其扩建为120亩古樟植物园，内有各类珍奇观赏植物近千种，成为旅游、植物研究的著名观赏区。,8:00,17:00,,1,,,1
荷塘月色,公园游乐园,50,121.01794,31.17967,48,4,12,0,荷塘月色湿地公园位于苏州相城区黄桥地域太阳路以南，由300多个沉降鱼塘和200多亩荒滩废弃河道改建而成，并成为集湿地保护、生态旅游、休闲观光和科普教育等为一体的现代休闲旅游区。总规划面积近六千亩，总投资达三个亿。其中公园面积五千三百亩，配套设施面积七百亩。整个建设分为两期，一期已建设面积两千亩，已投资七千万，种植了荷花、睡莲等一百五十五种荷花品种。,8:00,17:00,,1,,,1
苏州中国花卉植物园,公园游乐园,186,120.599,31.41414,615,34,1893,0,"苏州中国花卉植物园是国家3A级旅游景区，由杜鹃、茶梅、芙蓉、牡丹、樱花、花果、蔷薇、黑松、竹园、家乡树种等28个专类花卉园（角）组成，引种了适宜在相城种植栽培的1800多个品种、100多万株世界各地名贵花卉，是一个集世界花卉大全、华东地区规模最大的“江南大花园”，苏州城北以赏花为主题的“天然氧吧”。
花卉植物园建设因地制宜，根据园内多种地况特点，分别种植水生、中生、旱生植物，创造丰富多变的植物园景观，取得良好的生态效果。
自2022年3月3日起，苏州市植物园有序恢复开放，景区内部室内场馆等暂不开放。",8:00,17:00,,1,,,1
阊门,名胜古迹,342,120.60555,31.31519,688,33,86,0,门（拼音chāng mén），乃苏州古城之西门，通往虎丘方向。 阊门，从清代乾隆年间的《姑苏繁华图》中可以看出，阊门内城门临阊门大街（今西中市），上有城楼，类似盘门城楼。外城门靠吊桥，瓮城为长方形，瓮城内另有套城，并还有南、北两个童梓门。南童梓门通今南新路，北童梓门通北码头。,8:00,17:00,,,1,,
金门,名胜古迹,67,120.607132,31.309645,68,4,12,0,在未辟金门之前，由城中去虎丘、枫桥等处，都得从阊门出入。由于道路拥挤，车马相争事故屡有发生，故需另开一门，“另辟蹊径”。民国时期为沟通观前街与阊门商业区的联系，于1921年筑南新桥，1922年开金门。但第二年即发生了军阀齐燮元和卢永祥的江浙战争，祸及苏州。士绅认为开了金门不利，便重又砌没，另在其南60米处开辟新阊门。新阊门与景德路对直，似乎方便了，但出城后还得拐个弯再上南新桥，加上位置和高度皆不相宜，于是1929年动工重新开辟金门，1931年竣工，外与南新桥连成直线，内与景德路曲线相接，城门系罗马式，也设三门。,8:00,17:00,,,1,,
齐门,名胜古迹,31,120.62587,31.32708,82,1,7,0,齐门位于苏州城北。因门朝向当时的齐国，故名。相传阖闾十年（公元前505），吴破齐，齐以女质，配与吴世子波。齐女思乡，日夜号泣成病，阖闾乃造此门，名“望齐门”，令齐女往游其上，后称齐门。又传，当时吴强齐弱，年老的齐景公慑于吴王声威，将女配与吴太子波。太子波早亡，齐女思乡，吴王在齐门上造九层飞阁，让齐女登阁望乡，故又名望齐门。,8:00,17:00,,,1,,
相门,名胜古迹,85,120.63765,31.30969,156,12,9,0,"相门（xiàng mén）古作干将门、将门、匠门，位于江苏省苏州古城东。
吴王阖闾曾命铸剑师干将于此设炉铸剑，故得名干将门、将门。
《吴郡图经续记》记载：“将门者，吴王使干将于此铸宝剑，今谓之‘匠’，声之变也。”因此，“将门”便又称之为“匠门”，后又讹“匠”音为相，遂称“相门”。
相门在宋初被填塞。民国23-25年重辟，解放后被拆除。 [1]2012年再次重建。",8:00,17:00,,,1,,
胥门,名胜古迹,501,120.612442,31.296881,1125,40,115,0,"胥门，也称老胥门，1982年被列为苏州市文物保护单位。现存城门为元至正十一年（1351年）重建，明清重修。胥门与盘门同为苏州幸存的古城门。 [1]
《苏州府志》云：“胥门，西门也，在阊门南，一曰姑胥门。”现存城门为元至正十一年（1351年）重建，明清重修。苏州古城门皆水陆并列，惟胥门为防太湖洪水进城，宋元以后就无水门。陆门原有至正十六年张士诚增建的瓮城，已于民国时期拆去。现存门洞由三道砖砌拱券组成，第二道与第一、三道垂直相交砌筑，结构与盘门陆门内门相同。
拱门高4.65米，宽3.3米，纵深11.45米。东向（城内）尚存横额，“胥门”二字已毁。门洞左、右残存垣长约65米，残高7.2米，砖石尚较完整。西向（城外）砖石保存甚少。",8:00,17:00,,,1,,
木渎严家花园,名胜古迹,201,120.5107,31.25599,286,24,45,50,严家花园占地16亩。中路为五进主体建筑，依次为门厅、怡宾厅、尚贤堂、明是楼和眺农楼。其中位居第三进的尚贤堂为苏州罕见的明式楠门厅，迄今已有400多年历史，木础石质，典雅古朴；楠木直柱，圆润柔和；雕刻简洁疏朗，色调淡雅素净，具有实用和审美功能。尚贤堂和明是楼前各有清代砖雕门楼一座，所雕人马戏文玲珑剔透，意趣隽永，虽依附于厅堂，却未尝不是一件独立的艺术品，极富艺术价值和审美情趣。,8:00,17:00,,1,1,,1
藕园,名胜古迹,56,120.626731,31.311574,104,7,5,30,"耦园，原名涉园，位于江苏省苏州市内仓街小新巷6号，始建于清代初年。清末，因在住宅的东、西两侧各建有一园，故名“耦园”，且“耦”与“偶”相通。
耦园三面临河，一面沿街，宅园总面积约8000平方米。耦园布局以四进厅堂的宅地为中心，东西两园与住宅之间以重楼相通。分为中厅、西花厅与东花园三部分。东花园较大，占地面积约4亩，布局以山为主，以池为辅的特点。其东南角有小院三处，总称为“城曲草堂”。西园面积较小，以书斋“织帘老屋”为中心，分隔为前后两个小院，前院有湖石假山，后院有湖石花坛，园北立有藏书楼。耦园内景观“黄石假山”，修筑于城曲草堂楼厅之前。
2000年11月30日，包括耦园在内的苏州古典园林被联合国教科文组织世界遗产委员会第24届会议批准补列入《世界遗产名录》。2001年6月25日，耦园被中华人民共和国国务院公布为第五批全国重点文物保护单位。",8:00,17:00,,1,1,,1
启园,名胜古迹,96,121.018877,31.319123,105,8,18,25,启园的园址原名叶家浜，是太湖边种稻养鱼的十余亩洼地。本世纪三十年代，东山人席启荪买进这块地，在临湖一边挖土，扩展到40余亩，耗资十万（当时币值），历时3年建成这座私家园林，所以又名席家花园。建园时，由著名画家蔡铣、范少云、朱竹云等参照明王鏊所建的“招隐园・静观楼”的意境进行设计，“临三万六千顷波涛，历七十二峰之苍翠”，寓意深邃尽得湖山之胜。园内主体建筑“镜湖厅”是位于山水层林之间的四面厅，为二层建筑，端庄雅致。厅的四面空旷，东面筑“五老峰”、“真竹假笋”，铺地用小石砌成图案，其间花木扶疏，有含笑、山茶、牡丹、桂花、红枫、腊梅、铁牙松，清幽悦目。特别月夜至此，更是媚人。园中复廊的隔壁辟图案各异的漏窗，隐约可见被隔断的园景，给人以遐想和游之不尽之感。复廊尽端及两侧缀以亭台，愈臻古朴雅逸，展现了深厚的中国文化底蕴。,8:00,17:00,,1,1,,
苏州网师园,名胜古迹,1165,120.6333,31.297557,3269,220,6903,40,"网师园（Master-of-Nets Garden），位于江苏省苏州市城区东南部带城桥路阔家头巷11号，距离上海虹桥机场约120公里。是苏州园林中型古典山水宅园代表作品。网师园始建于南宋时期（公元1127～1279年），旧为宋代藏书家、官至侍郎的扬州文人史正志的“万卷堂”故址，花园名为“渔隐”，后废。至清乾隆年间（约公元1770年），退休的光禄寺少卿宋宗元购之并重建，定园名为“网师园”。
网师园几易其主，园主多为文人雅士，各有诗文碑刻遗于园内，历经修葺整理。网师园占地约半公顷，是苏州园林中较小的一座。园内主要建筑有丛桂轩、濯缨水阁、看松读画轩、殿春m等。网师园的亭台楼榭无不临水，全园处处有水可依，各种建筑配合得当，布局紧凑，以精巧见长。
网师园是典型的宅园合一的私家园林。住宅部分共四进，自轿厅、大客厅、撷秀楼、五峰书屋，沿中轴线依次展开，主厅“万卷堂”屋宇高敞，装饰雅致。
网师园是全国重点文物保护单位、世界文化遗产",8:00,17:00,,1,1,,
退思园,名胜古迹,404,120.722198,31.16061,795,59,1118,20,"退思园，位于中国江苏省苏州市吴江区同里镇古镇区新填街234号，始建于清光绪十一年至十三年（1885―1887年），该园是清朝官员任兰生被罢官返回故里后建造，园名引自《左传》中的“林父之事君也，进思尽忠，退思补过”之意。
退思园占地面积5674平方米，建筑面积2622平方米，横向布局，从西向东依次是住宅、庭院、花园。住宅由门厅、茶厅、正厅及家人居住的两幢小楼组成。中部庭院是住宅和花园之间的自然过渡，主要是用来作待客之用。庭院是以回廊围合而成，院南建有迎宾馆、岁寒居，做主人会客、宴客之处；院北建有坐春望月楼，是供客人居住。院内有旱船和花木小景，院东有月洞门通往花园。退思园是小型园林的典范，在有限的地域和空间内，为现代人提供了一个天然博物馆。
2001年6月，退思园被国务院公布为第五批全国重点文物保护单位",8:00,17:00,,,1,,
五峰园,名胜古迹,19,120.60955,31.31738,55,4,9,10,"五峰园始建于明代嘉靖年间，为长州尚书杨成所筑，俗称“杨家园”、一说园为文征明之侄画家文伯仁所筑，文伯仁号五峰老人。园中耸立五座太湖石峰，高二丈，颇极皱瘦玲珑之致，并峙高阜间，形似老丈，又名五老峰，分别为“丈人峰”、“观音峰”、“三老峰”、“庆云峰”及“擎云峰”。 全园以五峰胜，辅以水池，有峭壁、峡谷、山洞、石桥、古树、旱船、园亭、岩洞等景。园西南角有土墩，俗传为唐柳毅墓。该园屡易其主，惜抗日战争前后既散为民居，年久失修，现已荒芜，建筑坍，水池填塞，古树枯死，二座石峰倒地。1983年曾对峰石进行过保护性维修加固。
1982年，五峰园被列为市级文物保护单位。",8:00,17:00,,,1,,
平江路,名胜古迹,7914,120.5903151,31.2356922,22970,905,2432,0,"平江路南起干将东路，北越白塔东路和东北街相接，古名叫做""十泉里""，较早出现了1834年的《吴门表隐》中，说道:""平江路古名十泉里，有古井十口，华阳桥南一，奚家桥南一，苑桥北一""，很详尽。平江路是沿河的路，全长约1606米，也就是三里路长，两侧的横街窄巷就多了，比如狮子寺巷、传芳巷、东花桥巷、曹胡徐巷、大新桥巷、卫道观前、中张家巷、大儒巷、丁香巷、胡厢使巷、萧家巷、钮家巷、悬桥巷等等。",8:00,17:00,,,1,,
山塘街,名胜古迹,665,120.59301,31.32519,1284,59,171,0,"塘街位于江苏省苏州古城西北，东至红尘中“一二等富贵风流之地”阊门，西至“吴中第一名胜”虎丘，全长约3600米，约合7华里，故称“七里山塘到虎丘”。
唐朝时期，白居易任苏州刺史，对苏州城外西北河道进行疏浚，开挖成山塘河，傍河而建的古街被称为山塘街，沿街均为古建筑。古建筑大多是晚清和民国时期的建筑，为几落几进构成的建筑群体，纵向为落，横向为进。
2010年，山塘街获评“中国文化遗产保护典范单位”，被评为“中国历史文化名街”。2015年，山塘街被中国住建部、文物局评为首批“中国历史文化街区”。",8:00,17:00,,,1,,
陆巷古村,名胜古迹,864,120.3605413,31.07520643,1630,98,223,50,陆巷村，隶属于江苏省苏州市东山镇。距离东山镇中心12公里，背山面湖，东边是莫厘峰，南边是碧螺峰，西边是太湖，南宋时渐成村落，明清时名人辈出，明正德初大学士王鏊的故里即在此村。古村内寒谷山庄、北箭壶、观音堂等“72堂半”明清高堂巨宅鳞次栉比，保存完好的明清建筑有30余处，是吴县古建筑群中数量最多、保存较好、质量最高的一个村庄，是香山帮建筑的经典之作，也是环太湖古建筑文化的代表， 被誉为“太湖第一古村落”。还是明代首辅王鏊的故里。村中还有一条长达一里的明代古街，建有“探花、会元、解元”三座明代牌楼。,8:00,17:00,,,1,,
周庄古镇,名胜古迹,40,120.957741,31.399305,83,8,8,100,"周庄古镇位于苏州城东南，昆山、吴江、上海三地交界处，是世界文化遗产预选地、首批国家5A级旅游景区，
周庄古镇四面环水，因河成镇，依水成街，以街为市。主要景点有富安桥、双桥、沈厅等。井字型河道上完好保存着14座建于元、明、清各代的古石桥。800多户原住民枕河而居，60%以上的民居依旧保存着明清时期的建筑风貌。",8:00,17:00,,,1,,
包山寺,名胜古迹,16,120.30659,31.1020822,8,0,1,0,"位于苏州市吴中区灵岩山，是一座历史悠久的佛教寺庙。寺庙建筑古朴典雅，环境清幽，是修身养性和观光旅游的好去处。山禅寺，位于林屋洞西北的包山坞中，据史志资料记载，该寺初创于南朝之初，初名福愿寺，梁大同二年（536）正式建寺。唐上元九年，唐高宗李治赐该寺名为“显庆禅寺”；因西山四面为水所包，俗称包山，该寺又是山上第一大寺，唐肃宗李亨又赐名为包山寺，所在的山坞亦得名为包山坞，名称一直沿用至今。
自唐朝至清朝，包山寺代称江南名刹，高僧辈出，寺院亦经历了多次兴废。解放初包山寺曾被列为江苏省重点文物保护单位，“文化大革命”时寺院被毁，1995年开始重建，至1999年秋基本建成，10月23日正式开光。",8:00,17:00,,,1,,
报国寺,名胜古迹,123,120.985626,31.088577,192,8,25,0,"报国寺，位于四川省峨眉山市峨眉山麓的凤凰坪，为峨眉山八大重点寺庙之一，山中第一大寺。 [1]建于明万历年间（1573―1619年，一说1620年），原名会宗堂，取儒释道三教会宗之意。
报国寺占地40000平方米，坐西向东，前有凤凰堡，后倚凤凰坪，左濒凤凰湖，右挽来风亭。清迁于此，顺治九年（1652年）重建，康熙四十二年（1703年） 以《释氏要览》 “四恩斯报”中“报国主恩”之意，御题“报国寺”匾额而易名。
1983年，报国寺被中华人民共和国国务院确定为汉族地区佛教全国重点寺院。",8:00,17:00,,,1,,
北塔蠖魉,名胜古迹,973,120.623268,31.318424,1817,97,136,0,"北塔报恩寺，是苏州历史最悠久的寺院，距今已有1700多年。始建于三国赤乌年间（238―251年），据史志记载，乃孙权为乳母陈氏所建，始称通玄寺。唐初改称开元寺，后易名为报恩寺。
北寺塔是中国楼阁式佛塔，塔八面九层，规模宏大，重檐复宇，占地1.3亩，塔高76米，为江南第一古塔。塔内设置木梯，人们循级而上，可俯瞰苏州古城全貌。 北寺塔现为省级文物保护单位。
北寺塔东侧是明万历四十年重建的楠木观音殿，为苏州现存最完整的明代古建筑。观音殿南面建长廊，陈列着国内最大的巨型漆雕《盛世滋生图》，也称《姑苏繁华图》。该图全长32米，高2米，再现了清代“乾隆盛世”苏州的繁华。塔后碑亭中置有罕见的元代石雕艺术品张士诚记功碑，具有极高的历史艺术价值。",8:00,17:00,,,1,,
沧浪亭,名胜古迹,1092,120.62923,31.24249,4421,149,711,20,"沧浪亭，位于江苏省苏州市城南，是苏州最古老的一所园林，始建于北宋庆历年间（公元1041～1048年），南宋初年（公元12世纪初）曾为名将韩世忠的住宅。沧浪亭造园艺术与众不同，未进园门便设一池绿水绕于园外。园内以山石为主景，迎面一座土山，沧浪石亭便坐落其上。山下凿有水池，山水之间以一条曲折的复廊相连。假山东南部的明道堂是园林的主建筑，此外还有五百名贤祠、看山楼、翠玲珑馆、仰止亭和御碑亭等建筑与之衬映。
沧浪亭与狮子林、拙政园、留园一齐列为苏州宋、元、明、清四大园林，园内除沧浪亭本身外还有印心石屋、明道堂、看山楼等建筑和景观。
沧浪亭于1982年列为江苏省文物保护单位，2000年作为《世界文化遗产苏州古典园林增补项目》被联合国教科文组织列入《世界遗产名录》，2006年被国务院列为第六批全国重点文物保护单位。",8:00,17:00,,,1,,
曹王禅寺,名胜古迹,137,121.32341,31.45027,202,14,48,0,"曹王禅寺坐落于上海市嘉定区徐行镇和桥村。史传为曹王祠。曹王者，何许人也，今已无史可考。传说不一乏祥实之记载。或说曹魏、或说李唐皆无佐证。今据第二十七代僧慧智以文物印象回忆，说是纪念汉相曹参。为当地百姓认可，实亦难可信，需求索佐证。对此，现实已无细据之必要。以佛教观照，曹植、李明皆有情众生，即使被当地百姓奉为神明。仍在六道之中。皆是佛门超度对象。此间百姓视曹王为神灵，将曹王祠更名为曹王庙。香火渐旺。百姓聚而居之，遂形成曹王镇。镇民究之根本，信佛之风渐成，便在寺内设建大雄宝殿，供奉释迦世尊。由庙而寺，定名为曹王禅寺，沿革至今。
今者，政治清明，国运昌隆，四众弟子进香礼佛者与日俱增，每逢佛教圣节，云集此者常达三千余人，为适应徐行曹王两镇合并的总体，市政规划。保护和满足广大佛教信众的宗教活动，经嘉定区政府批准，迁址、重建于此。 现已初具规模，落成之后，有圆通宝殿、大雄宝殿、文殊阁、普贤阁、钟鼓楼、伽蓝殿、祖师殿等。及斋堂、寮房等附属设施。整个建筑群采用明清风格，整体远景规划，将占地三十多亩。展望未来，这里琳宫梵宇、气象焕然、庄严肃穆，必将成为上海市嘉定东北部寂妙修善理想之场所。空气清新、水流明净、无喧闹之浊音、梵呗荡漾于田园上空、断烦恼、得净心、生菩提。亦必将提升嘉定徐行曹王地区之文化底蕴。
曹王禅寺修复工程浩大，耗资甚巨，工程进展尚需时日，故特劝请十方善信，念佛诸友，共享盛举，捐资无论多少，积沙成塔，皆是无量功德，是为启。",8:00,17:00,,,1,,
慈云禅寺,名胜古迹,61,120.505791,30.91484,122,1,15,0,"慈云禅寺，位于江苏苏州市吴江区震泽镇，创建于宋咸淳（公元1265-1274年）年间。明正统中（1436-1449年）重建，旧名广济寺。明顺年间（1457-1464年）赐今额，寺中有浮屠五级，相传三国赤乌13年（250年）初建，明万历五年（1577年）寺与塔均重建。自明万历至汪康熙、乾隆、道光历朝多次增建殿宇堂轩，成为吴江区内规模较大的佛教寺院，历代高僧辈出，明有道泽、慈林，清有净眼、超伟法师及断手誓修天王殿的化主天衣僧。
慈云禅寺，片云自西来，与塔相回互。”历朝历代，有无数诗人赞美、吟咏过这座古寺，只要是游历过古寺的人，无不被它的优雅和古朴所倾倒，慈云禅寺仍然是震泽的一座标志性的建筑。",8:00,17:00,,,1,,
定慧寺,名胜古迹,66,120.632782,31.30657959,195,18,32,0,"定慧寺，始建于东汉兴平年间，距今已有1800多年历史。原名普济寺，宋朝时称普济禅院，元代改称焦山寺，清康熙南巡来游焦山时将春改名为“定慧寺”，一直沿用。
定慧寺“定慧”二字，取于佛家“由戒生定”，因定发慧和寂照又融，定慧均等之意。“定”，即去掉一切私心杂念，思想高度集中；“慧”，即由“闻、思、修”三条途径来增长智慧。“定慧”二字是佛家修行之纲领，可见“定慧”二字颇有深意。
定慧寺规模宏大，明代为全盛时期，有殿宇98间、和尚3000人，参禅的僧侣达数万人，加上定慧寺两旁还有18个庵寺，称“十八房”，故在佛教禅寺庙中有着显赫地位。
定慧寺，是中国古代著名的古刹，曾有“十方丛林”、“历代祖庭”之称。
",8:00,17:00,,,1,,
枫桥景区,名胜古迹,907,120.5786026,31.304622,1746,75,144,25,枫桥风景名胜区是以寒山古寺、江枫古桥、铁铃古关、枫桥古镇和古运河“五古”为主要游览内容的省级风景名胜区。枫桥景区从1986年开始规划建设，被国家旅游局纳入国家旅游发展计划。经过多年的发展建设，现已成为旅游环境优美，人文景观丰富，具有江南水乡古镇风貌的风景名胜区。现开放景点有枫桥苑、枫桥铁铃关、特色旅游项目“枫桥古镇水上游”、枫桥书场等。,8:00,17:00,,,1,,
海天禅寺,名胜古迹,58,121.1539,31.48037,45,5,6,0,"海天禅寺，坐落在太仓城区东部，位于沈海高速S339/浏河/太仓出口南侧，寺名缘起“海水摇空缘，天花拂袂来，禅边风儿好，寺帝板桥开”。
海天禅寺，气势恢宏，可谓“江东一绝”，占地百余亩，内有山门殿、天皇殿、大雄宝殿、地藏阁等。",8:00,17:00,,,1,,
皇罗禅寺,名胜古迹,92,120.776705,31.47851,124,6,28,0,"皇罗禅寺位于江苏省苏州市相城区阳澄湖镇北段，埝浜村，北靠湘城，东邻阳澄湖，并有官泾江流经寺后，寺院三面环水，寺内长廊水榭，风景秀美。
",8:00,17:00,,,1,,
锦溪古镇,名胜古迹,2765,121.034461,31.082153,5477,309,996,60,"锦溪古镇地处江苏省昆山市西南，距上海浦东国际机场100公里，无锡机场75公里。
锦溪古镇是一个拥有两千多年历史的江南水乡古镇，素有“中国民间博物馆之乡”的美誉，留存诸多人文景观、古迹名胜和无数独具明、清特色的建筑。著名的景点有通神御院，陈妃水冢，莲池禅院等。锦溪古镇先后获得中国历史文化名镇、中国民间文化艺术之乡、全国环境优美乡镇、中国人居环境范例奖、全国特色景观旅游名镇、国家AAAA级旅游风景区等荣誉称号。",8:00,17:00,,,1,1,1
兰风寺,名胜古迹,34,120.4871385,31.3082708,77,0,6,0,"苏州兰风古寺又名兰风寺，位于苏州高新区马涧路1511号，在历史悠久的鹿山脚下，白马涧生态保护区旁。始建於元朝大德二年(1298年), 原名景福庵，因清乾隆年间兰风祖师住持寺院，后改名为兰风古寺， 毁于民国战乱。2001年由法航师父原址重建，现多以“兰风古寺”称之。
苏州兰风寺是古典建筑与园林结构的组合。",8:00,17:00,,,1,,
